,id,dest_type,Name,lon,lat
0,0,supermarket,Pak'nSave Clarence St,175.2827800170001,-37.79556360299995
1,1,supermarket,Countdown St James,175.273060641,-37.73246954899997
2,2,supermarket,New World Rototuna,175.2742562350001,-37.72807727299994
3,3,supermarket,New World Hillcrest,175.3223266990001,-37.80194772799996
4,4,supermarket,Countdown,175.2453450370001,-37.79648246999994
5,5,supermarket,Countdown,175.2376872080001,-37.78154492299996
6,6,supermarket,Countdown Te Rapa,175.234487251,-37.74629884399997
7,7,supermarket,Pak'nSave Mill Street,175.2728071990001,-37.77991450499997
8,8,supermarket,Countdown Bridge Street,175.2870485560001,-37.79380709599997
9,9,supermarket,NewSave,175.2758916160001,-37.78636178799997
10,10,supermarket,Countdown,175.2738673780001,-37.78230141599994
11,11,supermarket,Four Square Heaphy Terrace,175.2830589550001,-37.77119806799993
12,14,supermarket,New World Te Rapa,175.239712884,-37.75330461999994
13,15,supermarket,Countdown Claudelands,175.2992442770001,-37.77850884399993
14,16,supermarket,New World,175.2875661100001,-37.82271589399994
15,17,supermarket,Countdown,175.278755,-37.75011809999995
16,20,supermarket,Super Value Supermarket,175.2528349,-37.73817549999995
17,21,supermarket,SuperValue Borman Village,175.2419288000001,-37.71943479999993
18,22,police_station,Hamilton Central Police Station,175.2877367360001,-37.79296419099995
19,23,police_station,Hamilton East Police Station,175.3072688760001,-37.78993508299993
20,24,police_station,West Hamilton Community Policing Centre,175.24533037,-37.79484133099993
21,25,police_station,Hamilton North Community Poilce Station,175.2539897,-37.73831709999996
22,26,hospital,Waikato Hospital,175.2828548420001,-37.80515369899996
23,27,hospital,Hospice Waikato,175.3168419780001,-37.80316840599994
24,29,hospital,Saint Joans Hospital,175.2890534260001,-37.76539822199993
25,30,hospital,Southern Cross Hospital,175.2903718790001,-37.78914619599993
26,33,hospital,Braemar Hospital,175.2790718680001,-37.80788878899995
27,35,fire_station,Hamilton Fire Station,175.2826236860001,-37.79106587999996
28,36,fire_station,Chartwell Fire Station,175.288885476,-37.75481749699998
29,37,fire_station,Te Rapa Fire Station,175.2284489000001,-37.75289979999997
30,38,library,Central Library,175.2825469160001,-37.78812139399997
31,39,library,Glenview LIbrary,175.2878652800001,-37.82294537899998
32,40,library,St Andrews Library,175.2585611000001,-37.75775459999994
33,41,library,Chartwell Library,175.278308086,-37.75155206899996
34,42,library,"Education Library, University of Waikato",175.3199909000001,-37.78620909999995
35,43,library,Hillcrest Library,175.3204202000001,-37.79536419999994
36,44,library,Dinsdale Library,175.2460800000001,-37.79450389999994
37,45,library,Wendell B Mendenhall Library,175.2274834000001,-37.82082119999995
38,46,library,Campus Library,175.3177915000001,-37.78749649999997
