,city,group,ede
0,baltimore,H7X001,1.8388461676110406
1,baltimore,H7X002,1.69231956098268
2,baltimore,H7X003,1.9207946607604751
3,baltimore,H7X004,1.8588178702665523
4,baltimore,H7X005,1.2392024184006947
5,baltimore,H7Y003,1.7862374827487584
6,baltimore,poverty,1.9222424311494302
7,baltimore,not_poverty,1.8249362463911274
8,baltimore,vehicle_access,1.824846271748317
9,baltimore,no_vehicle_access,1.8945760444197037
10,miami,H7X001,1.5320203960893874
11,miami,H7X002,1.3313771011504667
12,miami,H7X003,2.1830740799646238
13,miami,H7X004,1.766938129534517
14,miami,H7X005,1.2188048591693332
15,miami,H7Y003,1.3683792262264167
16,miami,poverty,1.6825482007463644
17,miami,not_poverty,1.4759396821112225
18,miami,vehicle_access,1.5037690728129234
19,miami,no_vehicle_access,1.6511219161829784
20,denver,H7X001,1.4027054986122565
21,denver,H7X002,1.3245471149655341
22,denver,H7X003,1.7430195981042633
23,denver,H7X004,1.3602682336239087
24,denver,H7X005,1.444904499632144
25,denver,H7Y003,1.4736929855757537
26,denver,poverty,1.3921053729432529
27,denver,not_poverty,1.4052196599313336
28,denver,vehicle_access,1.424673978181655
29,denver,no_vehicle_access,1.2268153854459989
30,detroit,H7X001,1.831559778711422
31,detroit,H7X002,1.6150844696369315
32,detroit,H7X003,1.8811612748820605
33,detroit,H7X004,1.669721519254501
34,detroit,H7X005,1.3652859964704638
35,detroit,H7Y003,1.473149005233239
36,detroit,poverty,1.8572051021193658
37,detroit,not_poverty,1.8121935393708855
38,detroit,vehicle_access,1.8268700319611078
39,detroit,no_vehicle_access,1.8290772233227213
40,new orleans,H7X001,2.9736158214952435
41,new orleans,H7X002,1.7856617055857562
42,new orleans,H7X003,3.4978926619931796
43,new orleans,H7X004,2.3882884249432035
44,new orleans,H7X005,2.705023725477774
45,new orleans,H7Y003,2.2195387126596056
46,new orleans,poverty,3.0136189164269256
47,new orleans,not_poverty,2.969827472767808
48,new orleans,vehicle_access,3.0875660441098494
49,new orleans,no_vehicle_access,2.4320346481128037
50,atlanta,H7X001,2.8974379829449437
51,atlanta,H7X002,1.894134570823443
52,atlanta,H7X003,3.5204796569838224
53,atlanta,H7X004,2.761345725463791
54,atlanta,H7X005,1.6539386875378366
55,atlanta,H7Y003,2.52694399260313
56,atlanta,poverty,3.239252457384869
57,atlanta,not_poverty,2.7897207240713966
58,atlanta,vehicle_access,2.817372854413829
59,atlanta,no_vehicle_access,3.2052227411157355
60,portland,H7X001,1.2856785018401566
61,portland,H7X002,1.2719976596320777
62,portland,H7X003,1.2732025865763406
63,portland,H7X004,1.2121441559449124
64,portland,H7X005,1.459543157518591
65,portland,H7Y003,1.2791134720757273
66,portland,poverty,1.194490742864123
67,portland,not_poverty,1.304528810616742
68,portland,vehicle_access,1.3308635499768535
69,portland,no_vehicle_access,0.9840560005712429
70,chicago,H7X001,1.3311062664083633
71,chicago,H7X002,1.089756716840972
72,chicago,H7X003,1.7343770340447089
73,chicago,H7X004,1.2335374752864812
74,chicago,H7X005,0.9621407371099799
75,chicago,H7Y003,1.221999810491241
76,chicago,poverty,1.3875798298364779
77,chicago,not_poverty,1.3131832909403984
78,chicago,vehicle_access,1.347571450573246
79,chicago,no_vehicle_access,1.2670983978691261
80,seattle,H7X001,1.0470959036555936
81,seattle,H7X002,1.0517317172945098
82,seattle,H7X003,1.028608357930855
83,seattle,H7X004,0.989603547685109
84,seattle,H7X005,1.0350435778532756
85,seattle,H7Y003,1.038322897576225
86,seattle,poverty,0.8730507319378737
87,seattle,not_poverty,1.0729753003092415
88,seattle,vehicle_access,1.0931098302004436
89,seattle,no_vehicle_access,0.7481788204160423
90,houston,H7X001,3.445172610990597
91,houston,H7X002,2.926229699406695
92,houston,H7X003,4.582705373996677
93,houston,H7X004,3.357689536343255
94,houston,H7X005,2.3408072627414795
95,houston,H7Y003,3.390138735112569
96,houston,poverty,3.7799487763906456
97,houston,not_poverty,3.358617506548225
98,houston,vehicle_access,3.427491303155104
99,houston,no_vehicle_access,3.5946316041918758
